season,player,team,matches,minutes,goals,goals_per_match,minutes_per_goal
2025,Real_Player1,Real Madrid,28,672,8,0.2857142857142857,84.0
2025,Real_Player2,Real Madrid,1,39,0,0.0,39.0
2025,Real_Player3,Real Madrid,20,840,5,0.25,168.0
2025,Real_Player4,Real Madrid,27,1863,7,0.25925925925925924,266.14285714285717
2025,Real_Player5,Real Madrid,20,1640,5,0.25,328.0
2025,Real_Player6,Real Madrid,19,1311,2,0.10526315789473684,655.5
2025,Real_Player7,Real Madrid,13,1170,4,0.3076923076923077,292.5
2025,Real_Player8,Real Madrid,28,2016,16,0.5714285714285714,126.0
2025,Real_Player9,Real Madrid,0,0,0,0.0,0.0
2025,Real_Player10,Real Madrid,8,80,1,0.125,80.0
2025,Real_Player11,Real Madrid,10,900,8,0.8,112.5
2025,Real_Player12,Real Madrid,22,1562,10,0.45454545454545453,156.2
2025,Real_Player13,Real Madrid,8,704,1,0.125,704.0
2025,Real_Player14,Real Madrid,12,720,1,0.08333333333333333,720.0
2025,Real_Player15,Real Madrid,31,403,7,0.22580645161290322,57.57142857142857
2025,Real_Player16,Real Madrid,1,51,1,1.0,51.0
2025,Real_Player17,Real Madrid,5,185,1,0.2,185.0
2025,Real_Player18,Real Madrid,29,2059,9,0.3103448275862069,228.77777777777777
2025,Real_Player19,Real Madrid,7,252,1,0.14285714285714285,252.0
2025,Real_Player20,Real Madrid,23,2024,4,0.17391304347826086,506.0
2025,Real_Player21,Real Madrid,11,528,3,0.2727272727272727,176.0
2025,Real_Player22,Real Madrid,1,11,0,0.0,11.0
2025,Real_Player23,Real Madrid,22,220,7,0.3181818181818182,31.428571428571427
2025,Real_Player24,Real Madrid,37,1221,10,0.2702702702702703,122.1
2025,Real_Player25,Real Madrid,15,1230,2,0.13333333333333333,615.0
2025,Barcelona_Player1,Barcelona,19,1292,6,0.3157894736842105,215.33333333333334
2025,Barcelona_Player2,Barcelona,17,170,6,0.35294117647058826,28.333333333333332
2025,Barcelona_Player3,Barcelona,1,10,0,0.0,10.0
2025,Barcelona_Player4,Barcelona,11,858,7,0.6363636363636364,122.57142857142857
2025,Barcelona_Player5,Barcelona,23,1932,12,0.5217391304347826,161.0
2025,Barcelona_Player6,Barcelona,3,126,1,0.3333333333333333,126.0
2025,Barcelona_Player7,Barcelona,7,112,2,0.2857142857142857,56.0
2025,Barcelona_Player8,Barcelona,21,651,9,0.42857142857142855,72.33333333333333
2025,Barcelona_Player9,Barcelona,18,234,2,0.1111111111111111,117.0
2025,Barcelona_Player10,Barcelona,27,1053,10,0.37037037037037035,105.3
2025,Barcelona_Player11,Barcelona,22,924,6,0.2727272727272727,154.0
2025,Barcelona_Player12,Barcelona,31,1736,19,0.6129032258064516,91.36842105263158
2025,Barcelona_Player13,Barcelona,22,528,3,0.13636363636363635,176.0
2025,Barcelona_Player14,Barcelona,24,1608,4,0.16666666666666666,402.0
2025,Barcelona_Player15,Barcelona,5,120,1,0.2,120.0
2025,Barcelona_Player16,Barcelona,32,544,8,0.25,68.0
2025,Barcelona_Player17,Barcelona,12,468,1,0.08333333333333333,468.0
2025,Barcelona_Player18,Barcelona,18,1206,1,0.05555555555555555,1206.0
2025,Barcelona_Player19,Barcelona,22,396,5,0.22727272727272727,79.2
2025,Barcelona_Player20,Barcelona,24,240,8,0.3333333333333333,30.0
2025,Barcelona_Player21,Barcelona,13,1014,3,0.23076923076923078,338.0
2025,Barcelona_Player22,Barcelona,15,855,4,0.26666666666666666,213.75
2025,Barcelona_Player23,Barcelona,4,172,0,0.0,172.0
2025,Barcelona_Player24,Barcelona,9,252,3,0.3333333333333333,84.0
2025,Barcelona_Player25,Barcelona,23,2047,7,0.30434782608695654,292.42857142857144
2025,Atlético_Player1,Atlético Madrid,36,756,16,0.4444444444444444,47.25
2025,Atlético_Player2,Atlético Madrid,12,252,1,0.08333333333333333,252.0
2025,Atlético_Player3,Atlético Madrid,34,3060,12,0.35294117647058826,255.0
2025,Atlético_Player4,Atlético Madrid,9,387,3,0.3333333333333333,129.0
2025,Atlético_Player5,Atlético Madrid,10,380,0,0.0,380.0
2025,Atlético_Player6,Atlético Madrid,24,720,10,0.4166666666666667,72.0
2025,Atlético_Player7,Atlético Madrid,11,704,4,0.36363636363636365,176.0
2025,Atlético_Player8,Atlético Madrid,24,528,4,0.16666666666666666,132.0
2025,Atlético_Player9,Atlético Madrid,6,222,4,0.6666666666666666,55.5
2025,Atlético_Player10,Atlético Madrid,34,714,8,0.23529411764705882,89.25
2025,Atlético_Player11,Atlético Madrid,35,2170,5,0.14285714285714285,434.0
2025,Atlético_Player12,Atlético Madrid,13,182,9,0.6923076923076923,20.22222222222222
2025,Atlético_Player13,Atlético Madrid,8,472,2,0.25,236.0
2025,Atlético_Player14,Atlético Madrid,37,3404,12,0.32432432432432434,283.6666666666667
2025,Atlético_Player15,Atlético Madrid,21,546,9,0.42857142857142855,60.666666666666664
2025,Atlético_Player16,Atlético Madrid,2,108,0,0.0,108.0
2025,Atlético_Player17,Atlético Madrid,27,1809,10,0.37037037037037035,180.9
2025,Atlético_Player18,Atlético Madrid,31,1674,10,0.3225806451612903,167.4
2025,Atlético_Player19,Atlético Madrid,2,50,3,1.5,16.666666666666668
2025,Atlético_Player20,Atlético Madrid,37,3145,6,0.16216216216216217,524.1666666666666
2025,Atlético_Player21,Atlético Madrid,27,1215,11,0.4074074074074074,110.45454545454545
2025,Atlético_Player22,Atlético Madrid,34,510,17,0.5,30.0
2025,Atlético_Player23,Atlético Madrid,24,1800,8,0.3333333333333333,225.0
