season,team,wins,draws,losses,goals_scored,goals_against,goal_diff,points
2025,Real Madrid,18,8,12,68,44,24,62
2025,Barcelona,22,12,4,60,68,-8,78
2025,Atlético Madrid,21,7,10,62,40,22,70
2025,Girona,22,12,4,75,69,6,78
2025,Athletic Club,19,7,12,61,31,30,64
2025,Real Sociedad,19,10,9,41,50,-9,67
2025,Real Betis,12,14,12,61,73,-12,50
2025,Villarreal,20,5,13,66,71,-5,65
2025,Valencia,23,7,8,83,32,51,76
2025,Sevilla,16,7,15,46,50,-4,55
2025,Getafe,20,11,7,57,33,24,71
2025,Osasuna,20,6,12,48,55,-7,66
2025,Las Palmas,16,6,16,59,57,2,54
2025,Almería,26,11,1,83,37,46,89
2025,Granada,26,7,5,53,46,7,85
2025,Mallorca,15,6,17,79,33,46,51
2025,Rayo Vallecano,13,10,15,81,33,48,49
2025,Cádiz,17,6,15,65,73,-8,57
2025,Alavés,13,14,11,75,43,32,53
2025,Celta Vigo,26,12,0,53,52,1,90
2026,Real Madrid,23,13,2,79,50,29,82
2026,Barcelona,24,6,8,86,53,33,78
2026,Atlético Madrid,21,13,4,84,70,14,76
2026,Girona,24,5,9,64,36,28,77
2026,Athletic Club,20,12,6,40,73,-33,72
2026,Real Sociedad,19,12,7,50,46,4,69
2026,Real Betis,19,7,12,74,62,12,64
2026,Villarreal,22,9,7,81,68,13,75
2026,Valencia,21,13,4,67,36,31,76
2026,Sevilla,20,12,6,51,63,-12,72
2026,Getafe,12,11,15,62,53,9,47
2026,Osasuna,16,7,15,83,69,14,55
2026,Las Palmas,17,7,14,40,64,-24,58
2026,Almería,16,7,15,40,34,6,55
2026,Granada,21,11,6,53,68,-15,74
2026,Mallorca,22,13,3,54,44,10,79
2026,Rayo Vallecano,21,14,3,52,61,-9,77
2026,Cádiz,18,5,15,71,33,38,59
2026,Alavés,25,9,4,62,68,-6,84
2026,Celta Vigo,24,8,6,52,61,-9,80
2027,Real Madrid,18,7,13,61,57,4,61
2027,Barcelona,13,14,11,84,35,49,53
2027,Atlético Madrid,23,8,7,69,40,29,77
2027,Girona,21,11,6,67,54,13,74
2027,Athletic Club,18,5,15,40,56,-16,59
2027,Real Sociedad,25,13,0,52,70,-18,88
2027,Real Betis,14,11,13,45,37,8,53
2027,Villarreal,22,13,3,76,62,14,79
2027,Valencia,14,14,10,83,53,30,56
2027,Sevilla,26,10,2,71,61,10,88
2027,Getafe,19,13,6,88,78,10,70
2027,Osasuna,21,8,9,51,68,-17,71
2027,Las Palmas,13,7,18,88,66,22,46
2027,Almería,12,12,14,56,78,-22,48
2027,Granada,13,6,19,67,52,15,45
2027,Mallorca,16,5,17,40,48,-8,53
2027,Rayo Vallecano,25,6,7,83,55,28,81
2027,Cádiz,17,11,10,43,40,3,62
2027,Alavés,19,5,14,77,53,24,62
2027,Celta Vigo,16,8,14,73,35,38,56
2028,Real Madrid,17,5,16,48,35,13,56
2028,Barcelona,24,7,7,59,65,-6,79
2028,Atlético Madrid,14,14,10,42,48,-6,56
2028,Girona,15,11,12,80,62,18,56
2028,Athletic Club,19,11,8,57,69,-12,68
2028,Real Sociedad,12,13,13,64,79,-15,49
2028,Real Betis,18,14,6,74,36,38,68
2028,Villarreal,23,14,1,87,78,9,83
2028,Valencia,13,5,20,87,41,46,44
2028,Sevilla,16,9,13,71,38,33,57
2028,Getafe,20,7,11,58,77,-19,67
2028,Osasuna,14,8,16,63,62,1,50
2028,Las Palmas,19,8,11,50,78,-28,65
2028,Almería,19,8,11,77,69,8,65
2028,Granada,15,7,16,87,54,33,52
2028,Mallorca,14,13,11,68,47,21,55
2028,Rayo Vallecano,25,6,7,41,64,-23,81
2028,Cádiz,24,13,1,75,62,13,85
2028,Alavés,15,5,18,53,50,3,50
2028,Celta Vigo,15,12,11,47,36,11,57
2029,Real Madrid,14,5,19,72,77,-5,47
2029,Barcelona,23,7,8,61,51,10,76
2029,Atlético Madrid,25,10,3,77,74,3,85
2029,Girona,14,10,14,47,56,-9,52
2029,Athletic Club,22,6,10,60,59,1,72
2029,Real Sociedad,12,5,21,44,77,-33,41
2029,Real Betis,14,8,16,74,78,-4,50
2029,Villarreal,12,9,17,45,64,-19,45
2029,Valencia,23,13,2,76,53,23,82
2029,Sevilla,24,5,9,85,60,25,77
2029,Getafe,14,5,19,60,61,-1,47
2029,Osasuna,18,5,15,42,47,-5,59
2029,Las Palmas,20,14,4,70,32,38,74
2029,Almería,19,12,7,89,61,28,69
2029,Granada,26,10,2,62,31,31,88
2029,Mallorca,26,14,-2,41,55,-14,92
2029,Rayo Vallecano,12,12,14,72,38,34,48
2029,Cádiz,22,10,6,87,68,19,76
2029,Alavés,24,14,0,65,64,1,86
2029,Celta Vigo,13,13,12,63,42,21,52
